Song,Artist,Album,Duration
1. I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",Zach Bryan,03:47
2. Strangers,Kenya Grace,Strangers,02:52
3. greedy,"E, Tate McRae",greedy,02:11
4. Agora Hills,"E, Doja Cat",Scarlet,04:25
5. Single Soon,Selena Gomez,Single Soon,02:51
6. Used To Be Young,Miley Cyrus,Endless Summer Vacation,03:11
7. Snooze,"E, SZA",SOS,03:21
8. Better Place (From TROLLS Band Together),"*NSYNC, Justin Timberlake",Better Place (From TROLLS Band Together),03:36
9. Lil Boo Thang,Paul Russell,Lil Boo Thang,01:54
10. Dial Drunk,"E, Noah Kahan, Post Malone",Dial Drunk,03:33
11. The Man,Taylor Swift,Lover,03:10
12. Fast Car,Luke Combs,Gettin' Old,04:25
13. Flowers,Miley Cyrus,Flowers,03:20
14. Dance The Night (From Barbie The Album),Dua Lipa,Dance The Night (From Barbie The Album),02:56
15. Ella Baila Sola,"Eslabon Armado, Peso Pluma",Ella Baila Sola,02:45
16. Calm Down,"Rema, Selena Gomez",Calm Down,03:59
17. Paint The Town Red,"E, Doja Cat",Paint The Town Red,03:51
"18. What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",03:42
19. Need A Favor,Jelly Roll,Whitsitt Chapel,03:17
20. CUFF IT,"E, Beyoncé",RENAISSANCE,03:45
21. ceilings,Lizzy McAlpine,five seconds flat,03:02
22. SNAP,Rosa Linn,SNAP,02:59
23. Moonlight,Kali Uchis,Moonlight,03:07
24. vampire,"E, Olivia Rodrigo",GUTS,03:39
25. Bad Habit,"E, Steve Lacy",Bad Habit,03:52
26. I know it won't work,Gracie Abrams,Good Riddance (Deluxe),04:05
27. Cupid – Twin Ver. (FIFTY FIFTY) – Sped Up Version,sped up 8282,Cupid – Twin Ver. (FIFTY FIFTY) – Sped Up Version,02:25
28. Boy's a Liar Pt. 2,"E, PinkPantheress, Ice Spice",Boy's a liar Pt. 2,02:11
29. Cruel Summer,Taylor Swift,Lover,02:58
30. Mukulu (Remix),"Taiyel, Portable",Mukulu (Remix),03:23
31. Kill Bill,SZA,SOS,02:33
32. Lavender Haze,"E, Taylor Swift",Midnights,03:22
33. Blinding Lights,The Weeknd,After Hours,03:20
34. Beggin',Måneskin,Chosen,03:31
35. bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",03:14
36. Unholy,"Sam Smith, Kim Petras",Unholy,02:36
"37. Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","E, Calvin Harris, Pharrell Williams, Katy Perry,","Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",03:43
38. Sucker,Jonas Brothers,Happiness Begins,03:01
39. Sign of the Times,Harry Styles,Harry Styles,05:40
40. Watermelon Sugar,Harry Styles,Fine Line,02:54
41. Bones,Imagine Dragons,Bones,02:45
42. Si No Estás,Íñigo Quintero,Si No Estás,03:04
43. Havana (feat. Young Thug),"Camila Cabello, Young Thug",Camila,03:37
44. I Love You So,The Walters,Songs for Dads,02:40
45. Save Your Tears,The Weeknd,After Hours,03:35
46. we fell in love in october,girl in red,we fell in love in october / forget her,03:04
47. Butter,BTS,"Butter (Hotter, Sweeter, Cooler)",02:44
48. Numb Little Bug,Em Beihold,Numb Little Bug,02:49
49. Shallow,"Lady Gaga, Bradley Cooper",A Star Is Born Soundtrack,03:35
"50. thank u, next","E, Ariana Grande","thank u, next",03:27
51. Something in the Orange,Zach Bryan,Something in the Orange,03:48
52. Epiphany (I'm Leaving),Chrisette Michele,Epiphany,03:28
53. willow,Taylor Swift,evermore (deluxe version),03:34
54. Love On The Brain,"E, Rihanna",ANTI (Deluxe),03:44
55. Everything She Ain’t,Hailey Whitters,Everything She Ain’t,02:31
56. cardigan,Taylor Swift,folklore,03:59
57. Heartbreak Anniversary,Giveon,TAKE TIME,03:18
58. I Think I Like You,"E, The Band Camino",The Band CAMINO,03:02
59. Boo'd Up,Ella Mai,READY,04:16
60. THATS WHAT I WANT,"E, Lil Nas X",MONTERO,02:23
61. Wow.,"E, Post Malone",Wow.,02:29
62. God Gave Me A Girl,Russell Dickerson,Russell Dickerson,03:07
63. Girl In Mine,Parmalee,Girl In Mine,02:35
64. Angels (Don’t Always Have Wings),Thomas Rhett,Angels (Don’t Always Have Wings),03:20
65. Stars Like Confetti,Dustin Lynch,Blue In The Sky,03:14
66. deja vu,"E, Olivia Rodrigo",SOUR,03:35
67. Drinkaby,Cole Swindell,Drinkaby,03:02
68. As It Was,Harry Styles,As It Was,02:47
69. Cool Little Bars,Ashley McBryde,Cool Little Bars,03:42
70. All-American Girl,Carrie Underwood,Greatest Hits: Decade #1,03:32
71. Standing Room Only,Tim McGraw,Standing Room Only,03:46
72. Sure Thing,Miguel,All I Want Is You,03:15
73. Meet Me At Our Spot,"E, THE ANXIETY, WILLOW, Tyler Cole",THE ANXIETY,02:42
74. Fine Line,Harry Styles,Fine Line,06:17
75. If I Can't Have You,Shawn Mendes,If I Can't Have You,03:10
76. I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,Speak Now (Taylor's Version),04:33
77. Mine (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),03:51
78. goodbye looks good on you (feat. Mitchell Tenpenny),"Alana Springsteen, Mitchell Tenpenny",TWENTY SOMETHING: Messing It Up,02:51
79. Drive You Out Of My Mind,Kassi Ashton,Drive You Out Of My Mind,03:32
80. Heart Like A Truck,Lainey Wilson,Heart Like A Truck,03:19
81. MONTERO (Call Me By Your Name),"E, Lil Nas X",MONTERO (Call Me By Your Name),02:17
82. Doin' This,Luke Combs,Doin' This,04:14
83. Put Your Records On,Ritt Momney,Put Your Records On,03:30
84. Glory Days,Gabby Barrett,Glory Days,02:42
85. The Tree,Maren Morris,The Bridge,03:25
86. Fake Names,Priscilla Block,Fake Names,02:39
87. Looking for You,Chris Young,Looking for You + All Dogs Go to Heaven,02:59
88. QLONA,"E, KAROL G, Peso Pluma",MAÑANA SERÁ BONITO (BICHOTA SEASON),02:52
89. Religiously,Bailey Zimmerman,Religiously. The Album.,02:58
90. Según Quién,"E, Maluma, Carin Leon",Según Quién,02:22
91. Arcade,Duncan Laurence,Arcade,03:03
92. MONACO,"E, Bad Bunny",nadie sabe lo que va a pasar mañana,04:27
93. How You Like That,BLACKPINK,THE ALBUM,03:00
94. Love You Anyway,Luke Combs,Love You Anyway,03:49
95. Can't Have Mine (Find You A Girl),Dylan Scott,Can't Have Mine (Find You A Girl),03:03
96. Watermelon Moonshine,Lainey Wilson,Watermelon Moonshine,03:28
97. If You Were A Song,Abbey Cone,If You Were A Song,04:19
98. PERRO NEGRO,"E, Bad Bunny, Feid",nadie sabe lo que va a pasar mañana,02:42
99. Last Night Lonely,Jon Pardi,Last Night Lonely,03:01
100. In Your Love,Tyler Childers,In Your Love,03:45
